Index,Style,Text
2538,Heading 2,"CHAPTER 5"
2555,Heading 2,"CHAPTER 6"
2562,Heading 2,"CHAPTER 7"
2569,Heading 2,"CHAPTER 8"
2575,Heading 2,"CHAPTER 9"
2586,Heading 2,"CHAPTER 10"
2595,Heading 2,"CHAPTER 11"
2601,Heading 2,"CHAPTER 12"
2610,Heading 2,"CHAPTER 13"
2614,Heading 2,"CHAPTER 14"
2619,Heading 2,"CHAPTER 15"
2621,Heading 2,"CHAPTER 16"
2625,Heading 2,"CHAPTER 17"
2631,Heading 2,"CHAPTER 18"
2639,Heading 2,"CHAPTER 19"
2644,Heading 2,"CHAPTER 20"
2648,Heading 2,"CHAPTER 21"
2654,Heading 2,"CHAPTER 22"
2668,Heading 2,"CHAPTER 23"
2675,Heading 2,"CHAPTER 24"
2687,Heading 2,"CHAPTER 25"
2696,Heading 2,"CHAPTER 26"
2703,Heading 2,"CHAPTER 27"
2711,Heading 2,"CHAPTER 28"
2721,Heading 2,"CHAPTER 29"
2727,Heading 2,"CHAPTER 30"
2734,Heading 2,"CHAPTER 31"
2746,Heading 2,"CHAPTER 32"
2774,Heading 2,"CHAPTER 33"
2799,Heading 2,"CHAPTER 34"
2812,Heading 1,"JOSHUA"
2822,Heading 2,"CHAPTER 1"
2830,Heading 2,"CHAPTER 2"
2841,Heading 2,"CHAPTER 3"
2849,Heading 2,"CHAPTER 4"
2857,Heading 2,"CHAPTER 5"
2864,Heading 2,"CHAPTER 6"
2874,Heading 2,"CHAPTER 7"
2881,Heading 2,"CHAPTER 8"
2889,Heading 2,"CHAPTER 9"
2899,Heading 2,"CHAPTER 10"
2919,Heading 2,"CHAPTER 11"
2925,Heading 2,"CHAPTER 12"
2960,Heading 2,"CHAPTER 13"
2967,Heading 2,"CHAPTER 14"
2973,Heading 2,"CHAPTER 15"
3021,Heading 2,"CHAPTER 16"
3024,Heading 2,"CHAPTER 17"
3030,Heading 2,"CHAPTER 18"
3039,Heading 2,"CHAPTER 19"
3064,Heading 2,"CHAPTER 20"
3068,Heading 2,"CHAPTER 21"
3083,Heading 2,"CHAPTER 22"
3095,Heading 2,"CHAPTER 23"
3101,Heading 2,"CHAPTER 24"
3119,Heading 1,"JUDGES"
3129,Heading 2,"CHAPTER 1"
3145,Heading 2,"CHAPTER 2"
3151,Heading 2,"CHAPTER 3"
3160,Heading 2,"CHAPTER 4"
3169,Heading 2,"CHAPTER 5"
3187,Heading 2,"CHAPTER 6"
3210,Heading 2,"CHAPTER 7"
3224,Heading 2,"CHAPTER 8"
3241,Heading 2,"CHAPTER 9"
3267,Heading 2,"CHAPTER 10"
3275,Heading 2,"CHAPTER 11"
3294,Heading 2,"CHAPTER 12"
3303,Heading 2,"CHAPTER 13"
3318,Heading 2,"CHAPTER 14"
3329,Heading 2,"CHAPTER 15"
3346,Heading 2,"CHAPTER 16"
3365,Heading 2,"CHAPTER 17"
3372,Heading 2,"CHAPTER 18"
3389,Heading 2,"CHAPTER 19"
3402,Heading 2,"CHAPTER 20"
3416,Heading 2,"CHAPTER 21"
3427,Heading 1,"RUTH"
3437,Heading 2,"CHAPTER 1"
3446,Heading 2,"CHAPTER 2"
3462,Heading 2,"CHAPTER 3"
3470,Heading 2,"CHAPTER 4"
3486,Heading 1,"1 SAMUEL"
3496,Heading 2,"CHAPTER 1"
3507,Heading 2,"CHAPTER 2"
3525,Heading 2,"CHAPTER 3"
3535,Heading 2,"CHAPTER 4"
3542,Heading 2,"CHAPTER 5"
3545,Heading 2,"CHAPTER 6"
3556,Heading 2,"CHAPTER 7"
3564,Heading 2,"CHAPTER 8"
3576,Heading 2,"CHAPTER 9"
3595,Heading 2,"CHAPTER 10"
3609,Heading 2,"CHAPTER 11"
3617,Heading 2,"CHAPTER 12"
3629,Heading 2,"CHAPTER 13"
3641,Heading 2,"CHAPTER 14"
3666,Heading 2,"CHAPTER 15"
3688,Heading 2,"CHAPTER 16"
3703,Heading 2,"CHAPTER 17"
3727,Heading 2,"CHAPTER 18"
3741,Heading 2,"CHAPTER 19"
3753,Heading 2,"CHAPTER 20"
3775,Heading 2,"CHAPTER 21"
3786,Heading 2,"CHAPTER 22"
3801,Heading 2,"CHAPTER 23"
3817,Heading 2,"CHAPTER 24"
3826,Heading 2,"CHAPTER 25"
3844,Heading 2,"CHAPTER 26"
3858,Heading 2,"CHAPTER 27"
3864,Heading 2,"CHAPTER 28"
3888,Heading 2,"CHAPTER 29"
3896,Heading 2,"CHAPTER 30"
3908,Heading 2,"CHAPTER 31"
3915,Heading 1,"2 SAMUEL"
3925,Heading 2,"CHAPTER 1"
3937,Heading 2,"CHAPTER 2"
3945,Heading 2,"CHAPTER 3"
3959,Heading 2,"CHAPTER 4"
3962,Heading 2,"CHAPTER 5"
3978,Heading 2,"CHAPTER 6"
3984,Heading 2,"CHAPTER 7"
3993,Heading 2,"CHAPTER 8"
3998,Heading 2,"CHAPTER 9"
4006,Heading 2,"CHAPTER 10"
4018,Heading 2,"CHAPTER 11"
4032,Heading 2,"CHAPTER 12"
4047,Heading 2,"CHAPTER 13"
4063,Heading 2,"CHAPTER 14"
4081,Heading 2,"CHAPTER 15"
4096,Heading 2,"CHAPTER 16"
4110,Heading 2,"CHAPTER 17"
4118,Heading 2,"CHAPTER 18"
4141,Heading 2,"CHAPTER 19"
4160,Heading 2,"CHAPTER 20"
4170,Heading 2,"CHAPTER 21"
4182,Heading 2,"CHAPTER 22"
4196,Heading 2,"CHAPTER 23"
4206,Heading 2,"CHAPTER 24"
4224,Heading 1,"1 KINGS"
4234,Heading 2,"CHAPTER 1"
4251,Heading 2,"CHAPTER 2"
4275,Heading 2,"CHAPTER 3"
