---- AuditVerseMarkerStructure: 2026-05-06 14:51:24 ----

66 Heading 1 paragraphs found in 148 sections.

  ch  39: expected verses= 43  found VM= 43  found CVM= 43  OK/OK
  ch  40: expected verses= 38  found VM= 38  found CVM= 38  OK/OK
Leviticus             expected chapters= 27  found= 27  OK
  ch   1: expected verses= 17  found VM= 17  found CVM= 17  OK/OK
  ch   2: expected verses= 16  found VM= 16  found CVM= 16  OK/OK
  ch   3: expected verses= 17  found VM= 17  found CVM= 17  OK/OK
  ch   4: expected verses= 35  found VM= 35  found CVM= 35  OK/OK
  ch   5: expected verses= 19  found VM= 19  found CVM= 19  OK/OK
  ch   6: expected verses= 30  found VM= 30  found CVM= 30  OK/OK
  ch   7: expected verses= 38  found VM= 38  found CVM= 38  OK/OK
  ch   8: expected verses= 36  found VM= 36  found CVM= 36  OK/OK
  ch   9: expected verses= 24  found VM= 24  found CVM= 24  OK/OK
  ch  10: expected verses= 20  found VM= 20  found CVM= 20  OK/OK
  ch  11: expected verses= 47  found VM= 47  found CVM= 47  OK/OK
  ch  12: expected verses=  8  found VM=  8  found CVM=  8  OK/OK
  ch  13: expected verses= 59  found VM= 59  found CVM= 59  OK/OK
  ch  14: expected verses= 57  found VM= 57  found CVM= 57  OK/OK
  ch  15: expected verses= 33  found VM= 33  found CVM= 33  OK/OK
  ch  16: expected verses= 34  found VM= 34  found CVM= 34  OK/OK
  ch  17: expected verses= 16  found VM= 16  found CVM= 16  OK/OK
  ch  18: expected verses= 30  found VM= 30  found CVM= 30  OK/OK
  ch  19: expected verses= 37  found VM= 37  found CVM= 37  OK/OK
  ch  20: expected verses= 27  found VM= 27  found CVM= 27  OK/OK
  ch  21: expected verses= 24  found VM= 24  found CVM= 24  OK/OK
  ch  22: expected verses= 33  found VM= 33  found CVM= 33  OK/OK
  ch  23: expected verses= 44  found VM= 44  found CVM= 44  OK/OK
  ch  24: expected verses= 23  found VM= 23  found CVM= 23  OK/OK
  ch  25: expected verses= 55  found VM= 55  found CVM= 55  OK/OK
  ch  26: expected verses= 46  found VM= 46  found CVM= 46  OK/OK
